,0
139,mask2_T1C_glszm_LargeAreaHighGrayLevelEmphasis
140,mask2_T1C_glszm_SizeZoneNonUniformity
141,mask2_T1C_glszm_SizeZoneNonUniformityNormalized
142,mask2_T1C_glszm_SmallAreaEmphasis
143,mask2_T1C_glszm_SmallAreaHighGrayLevelEmphasis
144,mask2_T1C_glszm_ZoneEntropy
145,mask2_T1C_glszm_ZoneVariance
146,mask2_T1C_glrlm_HighGrayLevelRunEmphasis
147,mask2_T1C_glrlm_RunEntropy
148,mask2_T1C_glrlm_RunLengthNonUniformityNormalized
149,mask2_T1C_glrlm_ShortRunEmphasis
150,mask2_T1C_glrlm_ShortRunHighGrayLevelEmphasis
151,mask2_T1C_ngtdm_Complexity
152,mask2_T1C_ngtdm_Contrast
